API_CODE,DESCRIPTION_ENGLISH,COUNTRY
ADI,Other operating revenues,Norway
ADK,Other operating expenses,Norway
AEK,Other equity,Norway
AEKK,Uncovered loss,Norway
AFA,Other financial fixed assets,Norway
AFI,Other financial income,Norway
AFK,Total other financial expenses,Norway
AFKK,Other financial expenses,Norway
AFM,Other financial instruments,Norway
AFV,Provisions - Fair value adjustments,Norway
AID,Shares/investment in subsidiaries,Norway
AIM,Other intangible fixed assets,Norway
AIV,Other investments,Norway
AK,Share capital,Norway/Denmark
AKG,Other short-term liabilities,Norway
AKR,Other creditors,Norway
AKSB,Shareholder contribution,Norway
ALG,Total other long-term liabilities,Norway
ALK,Liable loan capital,Norway
AMF,Other marked based financial instruments,Norway
ANDLØ,Other benefits general manager,Norway
ANF,Other receivables,Norway
ANFF,Other financial receivables,Norway
ANIE,Other equity deposits,Norway
ANLG,Other long-term liabilities,Norway
ANT,Employees from accounting,Norway/Denmark
AOM,Other current assets,Norway
ARI,Other interest income,Norway
ARK,Other interest expenses,Norway
ARKA,Working capital,Norway
AV,Other inventories,Norway
AVD,Other operation factors,Norway
AVS,Other provisions,Norway
AVUB,Provisions for dividends,Norway
BE,Changes in work in progress,Norway
BEE,Inventory changes self-manufactured goods,Norway
BEEA,Change in inventory of self-manufactured fixed assets,Norway
BET,Stock changes finished goods,Norway
BF,Gross earnings in %,Norway
BS,Payable tax,Norway
Currency,Currency,Norway
DR,Operating result,Norway
EB,Land buildings and other real property,Norway/Denmark
EBEF,Change in inventory of self-manufactured and finished goods,Norway
EBITDA,Earnings Before Interest Taxes Depreciation and Amortization,Norway
EGA,Own shares,Norway
EI,Extraordinary income,Norway
EK,Extraordinary expenses,Norway
EKA,Equity-to-asset ratio in % / solvency ratio,Norway/Denmark
EKAVO,Equity's share of turnover,Norway
ER,Return on net capital in %,Norway/Denmark
ERE,Return on net capital (a.t. in %),Norway
FDS,Receivables to companies in the same group,Norway
FFFO,Reserves,Norway
FFUG,Provisions - temporary adjustment investment gains/losses,Norway
FFV,Valuation reserve,Norway
FG1,Financing ratio I,Norway
FI,Financial income,Norway/Denmark
FK,Financial expenses,Norway
FONE,Bonus issues,Norway
